video_id,url,description,timestamp,length_in_seconds,play_count,comments_count,reactions_count,reshare_count
5.30812E+15,https://www.facebook.com/reel/5308123585983550/,iShowSpeed Was Always Sus,1666465244,9.265,16000,3,113,2
6.92844E+14,https://www.facebook.com/reel/692844048509932/,iShowSpeed Finally Packs Messi,1666378882,50.712,16000,6,160,5
5.18779E+14,https://www.facebook.com/reel/518778633429215/,iShowSpeed's Dream Job,1666292418,54.842,18000,3,126,0
1.23464E+15,https://www.facebook.com/reel/1234643440440522/,Ouuu I Look So Live😭,1666212383,9.772,21000,2,220,0
3.16E+15,https://www.facebook.com/reel/3160001867643127/,iShowSpeed Tries The One Chip Challenge,1665943229,58.24,20000,3,231,3
1.2458E+15,https://www.facebook.com/reel/1245800722662610/,Akinator Is Too Smart,1665860419,54.016,20000,2,150,2
4.2765E+14,https://www.facebook.com/reel/427649836216572/,iShowSpeed Reacts To His Fortnite Skin,1665691218,58.418,20000,0,155,1
1.09444E+15,https://www.facebook.com/reel/1094443424766225/,iShowSpeed Gets JumpScared On Gary'sMod,1665604827,11.932,23000,0,195,3
4.27194E+14,https://www.facebook.com/reel/427194319343724/,iShowSpeed Reacts To Dream's Face Reveal,1665096468,14.001,25000,0,161,1
4.63758E+14,https://www.facebook.com/reel/463757925771486/,Speed Reacts To Fifa 23,1665016575,12.84,29000,0,161,0
4.35929E+14,https://www.facebook.com/reel/435929421970139/,The True MVP,1664121716,44.032,36000,11,877,16
1.36834E+15,https://www.facebook.com/reel/1368341463696441/,SUI,1664063468,10.679,3500000,736,154586,1600
4.35039E+14,https://www.facebook.com/reel/435039352063358/,SIT DOWN KSI,1664046202,13.606,8900000,609,43467,200
2.34559E+15,https://www.facebook.com/reel/2345593485597605/,wait for it,1663898145,57.8,31000,8,844,6
3.94841E+14,https://www.facebook.com/reel/394841239487707/,iShowSpeed Finally Packs Ronaldo,1663199645,57.373,19000,2,434,0
5.9802E+14,https://www.facebook.com/reel/598019658658164/,iShowSpeed Tries The Michael Jackson Lean,1663105423,8.89,22000,4,240,12
6.2478E+14,https://www.facebook.com/reel/624780095828270/,👀,1663092284,14.2,21000,9,208,0
1.16617E+15,https://www.facebook.com/reel/1166173693936443/,iShowSpeed Reacts To Racist iPhone 14 Commercial.. 😂,1663013825,59.535,18000,1,159,2
7.43681E+14,https://www.facebook.com/reel/743680823387802/,iShowSpeed Tries The Kyle Jenner Challenge,1662508502,56.143,27000,30,688,41
5.6864E+14,https://www.facebook.com/reel/568639925044583/,IShowSpeed Attempts Backflip,1661977568,41.677,25000,2,283,1
7.59977E+14,https://www.facebook.com/reel/759976835120911/,Timmy Calls Cops at iShowSpeed's House,1661608889,59.254,26000,4,249,1
8.18834E+14,https://www.facebook.com/reel/818834162670409/,Bald 2.0,1661529919,8.893,30000,5,162,0
1.42606E+15,https://www.facebook.com/reel/1426060638139325/,A Simple Man With Simple Needs,1661443565,57.492,32000,3,291,2
5.3996E+15,https://www.facebook.com/reel/5399600516797119/,Leaked Rare Video Of iShowSpeed,1661207662,28.694,33000,8,362,4
1.22661E+15,https://www.facebook.com/reel/1226607184838266/,Bald,1661027668,59.417,36000,22,497,2
1.00044E+15,https://www.facebook.com/reel/1000441487495513/,Streaking At A High School Game,1660869320,35.392,35000,2,589,0
7.66928E+14,https://www.facebook.com/reel/766928271237587/,,1660752178,28.163,32000,5,403,0
7.70593E+14,https://www.facebook.com/reel/770593127511153/,IShowSpeed Gets Rejected...,1660665641,23.495,35000,6,1083,5
