Video ID,Title,Date Posted,Time Posted,Duration,Duration (seconds),Views,Likes,Comments,Like Rate (%),Comment Rate (%),Collaborators,Content Type,Video Type,Was Livestream,Thumbnail URL,Country
SFE8KIh2TQA,my new chinese car🇨🇳🚗 #ishowspeed,4/2/2025,14:04:05,41,41,24848887,891386,16004,3.59,0.06,,IRL / Vlog,Shorts,False,https://i.ytimg.com/vi/SFE8KIh2TQA/hqdefault.jpg,China
QtIlD6uxwwk,"irl stream in Cyber City Chongqing, China🇨🇳🌃",4/2/2025,14:03:57,6:31:26,23486,9289755,239409,15697,2.58,0.17,,IRL / Vlog,Stream,True,https://i.ytimg.com/vi/QtIlD6uxwwk/hqdefault.jpg,China
4F9ohF9_Imo,i’m quitting youtube💔,4/1/2025,4:19:21,20,20,9876134,408664,38092,4.14,0.39,,Misc,Shorts,False,https://i.ytimg.com/vi/4F9ohF9_Imo/hqdefault.jpg,Not Applicable
g4TDjwPRArg,"irl stream in Chengdu, China  🇨🇳",3/31/2025,12:10:19,5:23:23,19403,8754704,221632,13357,2.53,0.15,,IRL / Vlog,Stream,True,https://i.ytimg.com/vi/g4TDjwPRArg/hqdefault.jpg,China
fZWufgrkCcw,Super idol🇨🇳 #ishowspeed,3/31/2025,11:57:58,15,15,62982708,1311206,48281,2.08,0.08,,IRL / Vlog,Shorts,False,https://i.ytimg.com/vi/fZWufgrkCcw/hqdefault.jpg,China
XQ_Cp5VI_MU,climbing the LOVE LADDER 🇨🇳🗻 #ishowspeed,3/30/2025,6:30:25,44,44,30151246,1081675,21022,3.59,0.07,,IRL / Vlog,Shorts,False,https://i.ytimg.com/vi/XQ_Cp5VI_MU/hqdefault.jpg,China
GutqOcN-cE0,i learned kung fu🇨🇳🥋 #ishowspeed,3/28/2025,11:21:37,45,45,20753199,884253,18802,4.26,0.09,,IRL / Vlog,Shorts,False,https://i.ytimg.com/vi/GutqOcN-cE0/hqdefault.jpg,China
zBL_5DkiXCk,Becoming a Shaolin Monk in China 🥋🇨🇳 irl stream,3/28/2025,11:00:39,4:49:56,17396,7997124,212290,14762,2.65,0.18,,IRL / Vlog,Stream,True,https://i.ytimg.com/vi/zBL_5DkiXCk/hqdefault.jpg,China
xzHt1HFk1zA,BackFlip off the Great Wall Of China🇨🇳😳,3/26/2025,8:40:47,13,13,10396144,443085,7307,4.26,0.07,,IRL / Vlog,Shorts,False,https://i.ytimg.com/vi/xzHt1HFk1zA/hqdefault.jpg,China
K8d4n9GhBrg,"irl stream in Beijing, China 🇨🇳 + Great Wall of China",3/26/2025,8:00:43,6:09:52,22192,5949229,152307,13528,2.56,0.23,,IRL / Vlog,Stream,True,https://i.ytimg.com/vi/K8d4n9GhBrg/hqdefault.jpg,China
fK85SQzm0Z0,"irl stream in Shanghai, China 🇨🇳",3/24/2025,12:54:44,6:20:00,22800,7560345,238886,15417,3.16,0.2,,IRL / Vlog,Stream,True,https://i.ytimg.com/vi/fK85SQzm0Z0/hqdefault.jpg,China
oTx6EXTQNSQ,AI TROLLING ON OMEGLE 😂 + SPLIT OR STEAL,3/19/2025,19:04:38,2:54:27,10467,2041722,75418,1655,3.69,0.08,,Sports,Stream,True,https://i.ytimg.com/vi/oTx6EXTQNSQ/hqdefault.jpg,Not Applicable
rX7kyY2lWTM,Click This If You Love Your Mom 👩,3/16/2025,20:25:22,4:13:23,15203,2508015,98764,1664,3.94,0.07,,Variety Stream,Stream,True,https://i.ytimg.com/vi/rX7kyY2lWTM/hqdefault.jpg,Not Applicable
SahEdZYx7Ds,not ending until i beat Tower Of Hell (roblox),3/14/2025,20:59:30,3:16:17,11777,2598397,76497,4265,2.94,0.16,,Gaming,Stream,True,https://i.ytimg.com/vi/SahEdZYx7Ds/hqdefault.jpg,Not Applicable
#NAME?,I FINNNALY SCORED!!!!!,3/12/2025,20:16:40,2:51:00,10260,1924280,64084,1518,3.33,0.08,,Misc,Stream,True,https://i.ytimg.com/vi/-e3j2xzAakg/hqdefault.jpg,Not Applicable
5BixN1cdMwg,WE WON!!! Sidemen Charity Match Post Game ⚽️,3/8/2025,18:16:14,39:51:00,2391,2216029,76609,1549,3.46,0.07,['Sidemen'],Sports,Stream,True,https://i.ytimg.com/vi/5BixN1cdMwg/hqdefault.jpg,Not Applicable
IOknw-sk3ns,irl PRE GAME at the Sidemen Charity Match ⚽️,3/8/2025,15:12:47,1:33:25,5605,3323887,106248,1192,3.2,0.04,['Sidemen'],IRL / Vlog,Stream,True,https://i.ytimg.com/vi/IOknw-sk3ns/hqdefault.jpg,Not Applicable
6Nd-v8lmIDc,Last One Standing Wins @MrBeast,3/7/2025,17:03:09,1:23,83,67507295,3754823,27568,5.56,0.04,['MrBeast'],Sports,Regular Video,False,https://i.ytimg.com/vi/6Nd-v8lmIDc/hqdefault.jpg,Not Applicable
EE90rnGMBGI,irl Sidemen Charity Match Training ⚽️ ft. Youtube All Stars,3/7/2025,16:24:01,1:52:21,6741,2664519,91125,2384,3.42,0.09,['Sidemen'],IRL / Vlog,Stream,True,https://i.ytimg.com/vi/EE90rnGMBGI/hqdefault.jpg,Not Applicable
xFe7M0bFXSo,"irl $20,000 1v1 Football Tournament ⚽ (UK Edition 🇬🇧)",3/6/2025,21:22:28,3:28:55,12535,2808500,89144,1179,3.17,0.04,,Gaming,Stream,True,https://i.ytimg.com/vi/xFe7M0bFXSo/hqdefault.jpg,United Kingdom
so1Y06pQ_UM,"Live on CBS ft. Thierry Henry, Jamie Carragher, Micah Richards & others.. ⚽️",3/5/2025,23:17:10,57:11:00,3431,1816350,72263,2264,3.98,0.12,"['Jamie Carragher', 'Thierry Henry']",IRL / Vlog,Stream,True,https://i.ytimg.com/vi/so1Y06pQ_UM/hqdefault.jpg,Not Applicable
p36Nhm-PZKc,TALENT SHOW STREAM ✨  (HAPPY SUNDAY),3/2/2025,22:10:05,4:00:21,14421,1918149,65448,1554,3.41,0.08,,Sports,Stream,True,https://i.ytimg.com/vi/p36Nhm-PZKc/hqdefault.jpg,Not Applicable
OJq1w0DVheE,March 1st 2025 Stream (Ramadan),3/1/2025,21:20:04,4:05:40,14740,2554329,96739,2031,3.79,0.08,,IRL / Vlog,Stream,True,https://i.ytimg.com/vi/OJq1w0DVheE/hqdefault.jpg,Not Applicable
O3Sp6OqKGxA,BEATING MONSTER HUNTER WILDS RIGHT NOW… (Final Boss) 🧌 pt 2,3/1/2025,7:01:27,1:53:34,6814,487304,15511,506,3.18,0.1,,Gaming,Stream,True,https://i.ytimg.com/vi/O3Sp6OqKGxA/hqdefault.jpg,Not Applicable
gDrGbdEPcdw,BEATING MONSTER HUNTER WILDS… 🧌,3/1/2025,5:41:18,11:55:00,42900,1638696,46298,458,2.83,0.03,,Gaming,Stream,True,https://i.ytimg.com/vi/gDrGbdEPcdw/hqdefault.jpg,Not Applicable
cbY0lKd0-Q4,THIS STREAM IS NOT ENDING UNTIL I LAUGH,2/24/2025,21:57:12,3:43:38,13418,2198241,74333,1984,3.38,0.09,,IRL / Vlog,Stream,True,https://i.ytimg.com/vi/cbY0lKd0-Q4/hqdefault.jpg,Not Applicable
xc0ET_UbPvE,I REMEMBER,2/23/2025,23:18:19,5:14:08,18848,2457270,87901,1652,3.58,0.07,,Variety Stream,Stream,True,https://i.ytimg.com/vi/xc0ET_UbPvE/hqdefault.jpg,Not Applicable
iRzlxL-qepw,dont feel good🤒,2/18/2025,21:35:29,4:04:09,14649,2561554,88883,1584,3.47,0.06,,Variety Stream,Stream,True,https://i.ytimg.com/vi/iRzlxL-qepw/hqdefault.jpg,Not Applicable
JyVae6nu0HI,LONG TIME NO SEE,2/18/2025,1:43:00,6:58:50,25130,3193266,95433,1897,2.99,0.06,,Variety Stream,Stream,True,https://i.ytimg.com/vi/JyVae6nu0HI/hqdefault.jpg,Not Applicable
T4_sOUawGD4,"irl Charity Football Match ⚽️ ft. Thierry Henry, Iniesta, KSI, Chunkz & more 🇶🇦 (Match For Hope)",2/14/2025,20:08:40,4:12:50,15170,8409642,233003,5196,2.77,0.06,"['KSI', 'Chunkz', 'Iniesta', 'Thierry Henry']",Gaming,Stream,True,https://i.ytimg.com/vi/T4_sOUawGD4/hqdefault.jpg,Qatar
qOFU-x4Pikc,"irl at Super Bowl LIX Flag Football Game on YouTube 🏈 ft. Kai Cenat, Druski",2/9/2025,4:15:35,2:31:36,9096,3054282,82663,2780,2.71,0.09,"['Kai', 'Druski']",Gaming,Stream,True,https://i.ytimg.com/vi/qOFU-x4Pikc/hqdefault.jpg,Not Applicable
lowzMhQuh1E,PLAYING FORTNITE OG UNTIL WE WIN ⛏️🥇 ft. Kai Cenat (RANKED Season 2),2/5/2025,7:52:48,10:18:34,37114,5232097,143988,2141,2.75,0.04,['Kai'],Gaming,Stream,True,https://i.ytimg.com/vi/lowzMhQuh1E/hqdefault.jpg,Not Applicable
Q5_JVaat5zw,I Met John Cena,2/2/2025,19:50:36,46,46,24780672,1463848,9388,5.91,0.04,['John Cena'],IRL / Vlog,Shorts,False,https://i.ytimg.com/vi/Q5_JVaat5zw/hqdefault.jpg,Not Applicable
uKOFbuyRH1E,my WWE DEBUT🤼💔,2/2/2025,3:02:34,20,20,7403311,351447,4900,4.75,0.07,,Sports,Shorts,False,https://i.ytimg.com/vi/uKOFbuyRH1E/hqdefault.jpg,Not Applicable
87JeRmiBZak,irl stream at WWE Royal Rumble 🤼,2/2/2025,2:27:41,52:38:00,3158,7195913,252307,10883,3.51,0.15,,IRL / Vlog,Stream,True,https://i.ytimg.com/vi/87JeRmiBZak/hqdefault.jpg,Not Applicable
Mi1w07kgo5g,irl stream in Bolivia 🇧🇴,1/29/2025,20:02:14,27:48:00,1668,3419111,90372,14748,2.64,0.43,,IRL / Vlog,Stream,True,https://i.ytimg.com/vi/Mi1w07kgo5g/hqdefault.jpg,"Bolivia, Plurinational State of"
